v001x,v002x,v003x,v004x,v005x,v006x,v007x,v008x,v009x,v010x,v011x,v012x,v013x,v014x,v015x,v016x,v017x,v018x,v019x,v020x,v021x,v022x,v023x,v024x,v025x,v026x,v027x,v028x,v029x,v030x,v031x,v032x,v033x,v034x,v035x,v036x,v037x,v038x,v039x,v040x,v041x,v042x,v043x,v044x,v045x,v046x,v047x,v048x,v049x,v050x,v051x,v052x,v053x,v054x,v055x,v056x,v057x,v058x,v059x,v060x,v061x,v062x,v063x,v064x,v065x,v066x,v067x,v068x,v069x,v070x,v071x,v072x,v073x,v074x,v075x,v076x,v077x,v078x,v079x,v080x,v081x,v082x,v083x,v084x,v085x,v086x,v087x,v088x,v089x,v090x,v091x,v092x,v093x,v094x,v095x,v096x,v097x,v098x,v099x,v100x,v101x,v102x,v103x,v104x,v105x,v106x,v107x,v108x,v109x,v110x,v111x,v112x,v113x,v114x,v218x,v219x,v220x,v221x,v222x,v223x,v224x,v225x,v226x,v227x,v228x,v229x,v230x,v231x,v232x,v233x,v234x,v235x,v236x,v237x,v238x,v239x,v240x,v241x,v242x,v243x,v244x,v245x,v246x,v247x,v248x,v249x,v250x,v251x,v252x,v253x,v254x,v255x,v256x,v257x,v258x,v259x,v260x,v261x,v262x,v263x,v264x,v265x,v266x,v267x,v268x,v269x,v270x,v271x,v272x,v273x,v274x,v275x,v276x,v277x,v278x,v279x,v280x
10,1012,Scelba,540210,550706,50,1565,527,0.3367412141,0,"DC, PSDI, PLI",0,3,1,0,0,1,88888,N,88888,88888,143,88888,88888,88888,88888,88888,75,88888,19,262,88888,88888,88888,88888,6,88888,88888,88888,14,88888,29,88888,88888,DC,590,295,50,4.2,DC,88888,N,88888,88888,53,88888,88888,88888,88888,88888,29,88888,4,113,88888,88888,88888,88888,2,88888,3,88888,16,88888,9,88888,88888,237,120,3.9,DC,DC,9,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,11,N,0,0,0,CoC,CoC,CoC,2,3,1,1,1,1,88888,88888,88888,88888,88888,88888,0,0,0,0,0,1,1,0,"DC, PLI",1,DC,L,0,0,0,0,0,1,"1, 8",Economic Policy,0,0,1,0,1958,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0.1,2.2,88888,88888,88888,88888,88888,88888,0.5,88888,88888,88888,88888,88888,88888,2.8,1,300,283,1,88888,1,0,1,8,0,0,88888
10,1013,Segni I,550722,570516,50,1054,680,0.6451612903,0,"DC, PSDI, PLI",0,3,1,0,0,0,88888,N,88888,88888,143,88888,88888,88888,88888,88888,75,88888,19,262,88888,88888,88888,88888,6,88888,88888,88888,14,88888,29,88888,88888,DC,590,295,50,4.2,DC,88888,N,88888,88888,53,88888,88888,88888,88888,88888,29,88888,4,113,88888,88888,88888,88888,2,88888,3,88888,16,88888,9,88888,88888,237,120,3.9,DC,DC,9,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,16,N,0,0,0,CoC,CoC,CoC,2,3,1,1,1,1,88888,88888,88888,88888,88888,88888,0,0,0,0,0,1,0,0,88888,1,DC,L,0,0,0,0,0,0,88888,Agrarian reform,0,0,1,0,1958,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0.1,2.2,88888,88888,88888,88888,88888,88888,0.5,88888,88888,88888,88888,88888,88888,2.8,0,293,265,12,88888,1,0,0,7,0,0,88888
10,1014,Zoli,570519,580619,50,371,371,1,1,DC,0,1,0,0,0,1,E,E,88888,88888,143,88888,88888,88888,88888,88888,75,88888,19,262,88888,88888,88888,88888,6,88888,88888,88888,14,88888,29,88888,88888,DC,590,262,44.40678,4.2,DC,E,E,88888,88888,53,88888,88888,88888,88888,88888,29,88888,4,113,88888,88888,88888,88888,2,88888,3,88888,16,88888,9,88888,88888,237,113,3.9,DC,DC,9,2,"DC, PSDI, PLI, PRI","DC, PSDI, PLI",88888,88888,88888,88888,88888,88888,88888,88888,13,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0,0,0,0,0,0,88888,88888,88888,1,DC,L,0,0,0,0,0,0,88888,88888,0,0,1,1,1958,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,2.2,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,2.2,0,305,255,11,88888,0,88888,0,1,0,0,88888
10,1015,Fanfani II,580701,590126,50,1762,209,0.11861521,0,"DC, PSDI",0,2,1,0,0,1,F,F,88888,88888,141,88888,88888,88888,88888,88888,88,88888,17,273,88888,88888,88888,88888,7,88888,18,88888,20,88888,24,88888,88888,DC,596,290,48.65772,3.8,DC,F,F,88888,88888,59,88888,88888,88888,88888,88888,36,88888,5,123,88888,88888,88888,88888,88888,88888,4,88888,7,88888,8,88888,88888,246,128,3.6,DC,DC,11,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,12,N,0,0,0,CoC,CoC,CoC,2,3,1,2,1,1,88888,88888,88888,88888,88888,88888,0,0,0,0,0,0,0,1,"DC, PRI",1,PSDI,L,0,0,0,0,0,0,88888,88888,0,0,1,0,1963,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,1.4,-4,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,-2.6,0,295,287,9,88888,0,88888,0,1,0,0,88888
10,1016,Segni II,590215,600224,50,1533,374,0.2439660796,0,DC,0,1,0,0,0,1,88888,N,88888,88888,141,88888,88888,88888,88888,88888,88,88888,17,273,88888,88888,88888,88888,7,88888,18,88888,20,88888,24,88888,88888,DC,596,273,45.80537,3.8,DC,88888,N,88888,88888,59,88888,88888,88888,88888,88888,36,88888,5,123,88888,88888,88888,88888,88888,88888,4,88888,7,88888,8,88888,88888,246,123,3.6,DC,DC,11,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,20,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0,0,0,0,0,1,88888,88888,88888,0,88888,88888,0,0,0,0,0,1,"1, 3",Economic Policy,0,0,1,0,1963,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,-4,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,-4,0,333,248,1,88888,0,88888,0,0,88888,0,88888
10,1017,Tambroni,600325,600719,60,1129,116,0.1027457927,0,DC,0,1,0,0,0,0,88888,N,88888,88888,141,88888,88888,88888,88888,88888,88,88888,17,273,88888,88888,88888,88888,7,88888,18,88888,20,88888,24,88888,88888,DC,596,273,45.80537,3.8,DC,88888,N,88888,88888,59,88888,88888,88888,88888,88888,36,88888,5,123,88888,88888,88888,88888,88888,88888,4,88888,7,88888,8,88888,88888,246,123,3.6,DC,DC,11,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,7,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0,0,0,0,0,0,88888,88888,88888,1,DC,L,0,0,1,0,0,0,88888,88888,0,1,1,0,1963,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,-4,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,-4,0,300,293,0,88888,1,0,0,0,88888,0,88888
10,1018,Fanfani III,600726,620212,60,1006,566,0.5626242545,0,DC,0,1,0,0,0,0,88888,N,88888,88888,141,88888,88888,88888,88888,88888,88,88888,17,273,88888,88888,88888,88888,7,88888,18,88888,20,88888,24,88888,88888,DC,596,273,45.80537,3.8,DC,88888,N,88888,88888,59,88888,88888,88888,88888,88888,36,88888,5,123,88888,88888,88888,88888,88888,88888,4,88888,7,88888,8,88888,88888,246,123,3.6,DC,DC,11,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,7,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0,0,0,0,1,0,88888,88888,88888,0,88888,88888,0,0,0,0,0,0,88888,88888,0,0,1,0,1963,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,-4,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,-4,0,310,156,96,88888,0,88888,0,2,0,0,88888
10,1019,Fanfani IV,620221,630516,60,431,431,1,1,"DC, PSDI, PRI",0,3,1,0,0,1,E,E,88888,88888,141,88888,88888,88888,88888,88888,88,88888,17,273,88888,88888,88888,88888,7,88888,18,88888,20,88888,24,88888,88888,DC,596,297,49.83221,3.8,DC,E,E,88888,88888,59,88888,88888,88888,88888,88888,36,88888,5,123,88888,88888,88888,88888,88888,88888,4,88888,7,88888,8,88888,88888,246,128,3.6,DC,DC,11,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,19,N,0,0,0,CoC,CoC,CoC,2,3,1,2,1,1,88888,88888,88888,88888,88888,88888,1,0,0,0,0,0,0,0,88888,0,88888,88888,0,0,0,0,0,0,88888,88888,1,0,0,1,1963,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,1.4,-4,88888,88888,88888,88888,0,88888,88888,88888,88888,88888,88888,88888,88888,-2.6,0,295,195,83,88888,2,0,1,2,0,0,88888
10,1020,Leone I,630621,631105,60,1794,137,0.0763656633,0,DC,0,1,0,0,0,1,F,F,88888,88888,166,88888,88888,88888,88888,88888,62,88888,32,260,88888,88888,88888,88888,5,88888,38,88888,8,88888,27,88888,88888,DC,630,260,41.26984,4.2,DC,F,F,88888,88888,85,88888,88888,88888,88888,88888,44,88888,14,129,88888,88888,88888,88888,4,88888,19,88888,3,88888,14,88888,88888,315,129,3.7,DC,DC,9,1,DC,88888,88888,88888,88888,88888,88888,88888,88888,88888,36,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0,0,0,0,1,1,88888,88888,88888,1,DC,L,0,0,0,0,0,0,88888,88888,0,0,1,0,1968,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0.8,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0.8,0,255,225,119,88888,0,88888,0,0,88888,0,88888
10,1021,Moro I,631204,680615,60,1628,1628,1,1,"DC, PSI, PRI, PSDI",0,4,1,1,1,1,88888,E,88888,88888,166,88888,88888,88888,88888,88888,62,88888,32,260,88888,88888,88888,88888,5,88888,38,88888,8,88888,27,88888,88888,DC,630,359,56.98413,4.2,DC,88888,E,88888,88888,85,88888,88888,88888,88888,88888,44,88888,14,129,88888,88888,88888,88888,4,88888,19,88888,3,88888,14,88888,88888,315,191,3.7,DC,DC,9,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,20,IE,3,0,0,"CoC, PS",CoC,CoC,2,3,1,2,1,1,3680,38.1,23,0,7.5,31.3,0,0,0,0,0,1,0,0,88888,1,DC,L,1,0,0,0,0,0,88888,88888,0,1,1,1,1968,88888,88888,88888,88888,88888,88888,88888,88888,-2.7,88888,-2.7,0.8,88888,88888,88888,88888,0.6,88888,-1.2,88888,88888,88888,88888,88888,88888,-4,0,350,233,4,88888,1,0,0,25,0,0,88888
10,1022,Leone II,680624,681119,60,1790,148,0.0826815642,0,DC,0,1,0,0,0,1,F,F,88888,88888,171,88888,88888,88888,88888,23,91,88888,88888,265,88888,88888,88888,88888,9,88888,31,88888,6,88888,24,88888,88888,DC,630,265,42.06349,3.6,DC,F,F,88888,88888,89,88888,88888,88888,88888,12,46,88888,88888,135,88888,88888,88888,88888,2,88888,16,88888,2,88888,11,88888,88888,315,135,3.2,DC,DC,9,1,DC,88888,88888,88888,88888,88888,88888,88888,88888,88888,19,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0,0,0,0,1,0,88888,88888,88888,0,88888,88888,0,0,0,0,0,0,88888,88888,0,0,1,0,1972,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0.5,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0.5,0,263,252,88,88888,0,88888,0,0,88888,0,88888
10,1023,Rumor I,681212,690715,60,1619,215,0.1327980235,0,"DC, PSI, PRI",0,3,1,1,1,1,88888,N,88888,88888,171,88888,88888,88888,88888,23,91,88888,88888,265,88888,88888,88888,88888,9,88888,31,88888,6,88888,24,88888,88888,DC,630,365,57.93651,3.6,DC,88888,N,88888,88888,89,88888,88888,88888,88888,12,46,88888,88888,135,88888,88888,88888,88888,2,88888,16,88888,2,88888,11,88888,88888,315,181,3.2,DC,DC,9,1,"DC, PSI, PRI",88888,88888,88888,88888,88888,88888,88888,88888,88888,23,N,0,0,0,"CoC, PS",CoC,CoC,2,3,1,2,1,1,88888,88888,88888,88888,88888,88888,0,0,0,0,0,0,0,1,"PSI, PSDI",1,DC,L,0,0,0,0,0,0,88888,88888,0,0,1,0,1972,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0.5,88888,88888,88888,88888,0.9,88888,88888,88888,88888,88888,88888,88888,88888,1.6,0,351,247,2,88888,0,88888,0,3,0,0,88888
10,1024,Rumor II,690805,700217,60,1383,196,0.1417208966,0,DC,0,1,0,0,0,1,88888,N,88888,88888,171,88888,88888,88888,88888,23,91,88888,88888,265,88888,88888,88888,88888,9,88888,31,88888,6,88888,24,88888,88888,DC,630,265,42.06349,3.6,DC,88888,N,88888,88888,89,88888,88888,88888,88888,12,46,88888,88888,135,88888,88888,88888,88888,2,88888,16,88888,2,88888,11,88888,88888,315,135,3.2,DC,DC,9,2,"DC, PSI","DC, PSI, PRI",88888,88888,88888,88888,88888,88888,88888,88888,31,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0,0,0,0,0,1,88888,88888,88888,0,88888,88888,0,0,0,0,0,0,88888,Divorce,0,0,1,0,1972,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0.5,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0.5,0,346,245,6,88888,0,88888,0,2,0,0,88888
10,1025,Rumor III,700327,700716,70,1149,111,0.0966057441,0,"DC, PSI, PSDI, PRI",0,4,1,1,1,1,88888,N,88888,88888,171,88888,88888,88888,88888,23,91,88888,88888,265,88888,88888,88888,88888,9,88888,31,88888,6,88888,24,88888,88888,DC,630,365,57.93651,3.6,DC,88888,N,88888,88888,89,88888,88888,88888,88888,12,46,88888,88888,135,88888,88888,88888,88888,2,88888,16,88888,2,88888,11,88888,88888,315,183,3.2,DC,DC,9,0,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,48,N,0,0,0,"CoC, PS",CoC,CoC,2,3,1,2,1,1,88888,88888,88888,88888,88888,88888,0,0,0,0,0,0,0,0,88888,1,"DC, PSI",L,1,0,0,0,0,0,88888,88888,0,1,1,0,1972,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,0.5,88888,88888,88888,88888,0.9,88888,88888,88888,88888,88888,88888,88888,88888,1.6,0,348,239,0,88888,0,88888,0,4,0,0,88888
